-27.55	-10.75
-26.8	-13.75
-26.8	-18.25
-26.05	-20.5
-24.55	-23.5
-23.8	-25.75
-23.8	-27.25
-24.55	-28
-26.05	-27.25
-27.55	-24.25
-28.3	-22
-29.05	-19.75
-29.8	-20.5
-29.8	-22
-29.05	-25
-29.05	-28
-29.05	-29.5
-29.8	-31.75
-31.3	-31.75
-32.05	-28.75
-32.05	-24.25
-32.8	-21.25
-33.55	-25
-34.3	-28.75
-34.3	-31.75
-35.05	-33.25
-36.55	-32.5
-36.55	-28
-36.55	-25
-35.8	-22
-35.8	-20.5
-36.55	-20.5
-37.3	-22.75
-38.05	-25.75
-38.8	-28
-39.55	-29.5
-40.3	-30.25
-41.8	-28.75
-41.05	-25.75
-40.3	-23.5
-39.55	-20.5
-38.8	-18.25
-38.8	-16
-39.55	-14.5
-40.3	-13.75
-42.55	-14.5
-43.3	-15.25
-46.3	-16
-47.8	-15.25
-47.05	-13.75
-44.05	-12.25
-42.55	-11.5
-41.05	-10.75
-38.8	-9.25
-36.55	-8.5
-35.05	-7.75
